> Austrailia_1	110	-10
85.561	27.107	85.363	27.147
85.363	27.147	85.177	27.222
85.177	27.222	84.985	27.283
84.985	27.283	84.782	27.302
84.782	27.302	84.579	27.317
84.579	27.317	84.375	27.305
84.375	27.305	84.174	27.28
84.174	27.28	83.989	27.356
83.989	27.356	83.835	27.472
83.835	27.472	83.702	27.609
83.702	27.609	83.511	27.671
83.511	27.671	83.31	27.703
83.31	27.703	83.111	27.745
83.111	27.745	82.906	27.744
82.906	27.744	82.705	27.714
82.705	27.714	82.51	27.657
82.51	27.657	82.338	27.736
82.338	27.736	82.195	27.866
82.195	27.866	82.004	27.915
82.004	27.915	81.817	27.961
81.817	27.961	81.748	28.129
81.748	28.129	81.669	28.292
81.669	28.292	81.475	28.35
81.475	28.35	81.352	28.485
81.352	28.485	81.253	28.637
81.253	28.637	81.082	28.738
81.082	28.738	80.881	28.774
80.881	28.774	80.684	28.827
80.684	28.827	80.498	28.905
80.498	28.905	80.315	28.989
80.315	28.989	80.133	29.074
80.133	29.074	80	29.1212588832
80	29.1212588832	80	-4.4894469914
80	-4.4894469914	80.374	-4.393
80.374	-4.393	81.072	-4.213
81.072	-4.213	81.701	-4.031
81.701	-4.031	82.33	-3.848
82.33	-3.848	82.796	-3.641
82.796	-3.641	83.263	-3.433
83.263	-3.433	83.729	-3.225
83.729	-3.225	84.195	-3.017
84.195	-3.017	84.987	-3.181
84.987	-3.181	85.779	-3.344
85.779	-3.344	86.501	-3.716
86.501	-3.716	87.225	-4.088
87.225	-4.088	87.923	-3.529
87.923	-3.529	88.62	-2.969
88.62	-2.969	88.828	-2.271
88.828	-2.271	89.036	-1.574
89.036	-1.574	89.43	-1.179
89.43	-1.179	89.825	-0.783
89.825	-0.783	90.63	-0.45
90.63	-0.45	91.436	-0.117
91.436	-0.117	92.241	0.216
92.241	0.216	93.046	0.549
93.046	0.549	93.852	0.882
93.852	0.882	94.415	1.493
94.415	1.493	95.104	2.221
95.104	2.221	94.781	2.51
94.781	2.51	94.451	2.786
94.451	2.786	94.161	3.107
94.161	3.107	93.891	3.443
93.891	3.443	93.659	3.806
93.659	3.806	93.407	4.155
93.407	4.155	93.177	4.518
93.177	4.518	93	4.91
93	4.91	92.846	5.311
92.846	5.311	92.711	5.719
92.711	5.719	92.586	6.13
92.586	6.13	92.452	6.538
92.452	6.538	92.302	6.939
92.302	6.939	92.165	7.346
92.165	7.346	91.999	7.74
91.999	7.74	91.832	8.134
91.832	8.134	91.676	8.531
91.676	8.531	91.55	8.94
91.55	8.94	91.554	9.104
91.554	9.104	91.533	9.604
91.533	9.604	91.559	10.056
91.559	10.056	91.576	10.514
91.576	10.514	91.591	11.3
91.591	11.3	91.595	11.778
91.595	11.778	91.834	13.078
91.834	13.078	92.141	13.901
92.141	13.901	92.671	14.819
92.671	14.819	93.329	15.926
93.329	15.926	93.584	16.555
93.584	16.555	93.817	17.243
93.817	17.243	93.842	18.264
93.842	18.264	93.621	19.102
93.621	19.102	93.195	20.02
93.195	20.02	92.328	22.109
92.328	22.109	92.345	23.379
> pamir001_1	80	29.1212588832
80	29.1212588832	80.133	29.074
80.133	29.074	80.315	28.989
80.315	28.989	80.498	28.905
80.498	28.905	80.684	28.827
80.684	28.827	80.881	28.774
80.881	28.774	81.082	28.738
81.082	28.738	81.253	28.637
81.253	28.637	81.352	28.485
81.352	28.485	81.475	28.35
81.475	28.35	81.669	28.292
81.669	28.292	81.748	28.129
81.748	28.129	81.817	27.961
81.817	27.961	82.004	27.915
82.004	27.915	82.195	27.866
82.195	27.866	82.338	27.736
82.338	27.736	82.51	27.657
82.51	27.657	82.705	27.714
82.705	27.714	82.906	27.744
82.906	27.744	83.111	27.745
83.111	27.745	83.31	27.703
83.31	27.703	83.511	27.671
83.511	27.671	83.702	27.609
83.702	27.609	83.835	27.472
83.835	27.472	83.989	27.356
83.989	27.356	84.174	27.28
84.174	27.28	84.375	27.305
84.375	27.305	84.579	27.317
84.579	27.317	84.782	27.302
84.782	27.302	84.985	27.283
84.985	27.283	85.177	27.222
85.177	27.222	85.363	27.147
85.363	27.147	85.561	27.107
85.561	27.107	85.758	27.069
85.758	27.069	85.928	26.969
85.928	26.969	86.121	26.911
86.121	26.911	86.314	26.853
86.314	26.853	86.506	26.802
86.506	26.802	86.607	26.651
86.607	26.651	86.807	26.634
86.807	26.634	86.969	26.737
86.969	26.737	87.142	26.819
87.142	26.819	87.338	26.77
87.338	26.77	87.528	26.752
87.528	26.752	87.716	26.722
87.716	26.722	87.897	26.65
87.897	26.65	88.074	26.735
88.074	26.735	88.264	26.797
88.264	26.797	88.45	26.788
88.45	26.788	88.636	26.779
88.636	26.779	88.822	26.769
88.822	26.769	89.007	26.76
89.007	26.76	89.171	26.742
89.171	26.742	89.41	26.757
89.41	26.757	89.629	26.75
89.629	26.75	89.848	26.738
89.848	26.738	90.052	26.755
90.052	26.755	90.262	26.754
90.262	26.754	90.469	26.743
90.469	26.743	90.67	26.751
90.67	26.751	90.881	26.74
90.881	26.74	91.095	26.755
91.095	26.755	91.27	26.741
91.27	26.741	91.444	26.757
91.444	26.757	91.623	26.752
91.623	26.752	91.9	26.814
91.9	26.814	93.767	27.181
93.767	27.181	95.048	27.747
95.048	27.747	95.667	28.325
95.667	28.325	96.85	28.962
96.85	28.962	96.32	29.418
96.32	29.418	92.974	28.114
92.974	28.114	89.553	28.335
89.553	28.335	87.745	28.224
87.745	28.224	86.14	29.265
86.14	29.265	85.008	29.431
85.008	29.431	83.976	29.897
83.976	29.897	83.7404434783	30
83.7404434783	30	80	30
80	30	80	29.1212588832
> SouthEastAsia_1	110	17.8134104525
110	17.8134104525	108.889	17.795
108.889	17.795	108.79	17.896
108.79	17.896	106.404	20.211
106.404	20.211	105.414	21.242
105.414	21.242	104.665	22.017
104.665	22.017	103.992	22.517
103.992	22.517	103.19	23.046
103.19	23.046	103.181	22.486
103.181	22.486	103.206	21.73
103.206	21.73	102.677	20.747
102.677	20.747	101.898	19.487
101.898	19.487	101.411	18.462
101.411	18.462	100.257	17.494
100.257	17.494	96.508	16.563
96.508	16.563	96.53	15.326
96.53	15.326	96.406	15.136
96.406	15.136	96.454	14.909
96.454	14.909	96.48	14.4
96.48	14.4	96.503	14.129
96.503	14.129	95.055	13.01
95.055	13.01	95.005	12.453
95.005	12.453	95.019	12.024
95.019	12.024	94.807	11.188
94.807	11.188	94.415	10.679
94.415	10.679	94.024	10.17
94.024	10.17	94.216	9.717
94.216	9.717	94.415	9.27
94.415	9.27	93.986	9.019
93.986	9.019	94.171	8.686
94.171	8.686	94.429	8.312
94.429	8.312	94.775	7.847
94.775	7.847	94.46	7.603
94.46	7.603	94.883	7.139
94.883	7.139	94.498	6.837
94.498	6.837	94.851	6.219
94.851	6.219	95.045	5.747
95.045	5.747	95.209	5.547
95.209	5.547	95.454	5.302
95.454	5.302	95.702	5.128
95.702	5.128	95.938	4.96
95.938	4.96	96.07	4.841
96.07	4.841	96.393	4.531
96.393	4.531	96.594	4.37
