Junggar1 52.325 84.505 1.059
NAndes 9.215 124.21 0.288
Inca_1 9.178 114.713 0.246
Inca_2 8.371 140.23 0.111
NorthAndes_South -2.835 114.94 0.643
North_Sulawesi 7.703 -38.65 1.07
GONA 4.671 108.305 0.287
dsfsdf -22.804 -77.66 1.098
Nevada -53.188 81.208 0.092
Gegharkunik 52.868 45.013 0.804
Chalderan_B5 46.886 43.741 1.61
SRPn -46.084 66.625 0.351
cnv -43.411 65.976 0.376
IdWy 43.195 -112.138 0.632
greenwood 37.474 -125.317 3.164
SierraBlock -37.753 177.7 0.132
Greenville 36.871 -121.522 7.491
ENIS 39.51 6.42 3.167
HISP 24.367 -70.804 1.172
PRVI 32.982 -72.166 0.565
SCEN -25.552 -58.696 6.841
HSSH -24 -57.735 16.081
EFSB -23.373 -59.182 30.823
Taipei 25.385 121.407 34.248
Okinawa -23.957 -58.754 2.446
arabia 49.073 29.147 0.541
NB_iran 59.939 48.937 0.369
InnerThrust -4.371 -147.352 0.162
Ionian -37.661 -160.437 8.917
WesternPeloponnese 37.034 23.111 9.961
southeast_Aegean -34.965 -157.313 6.679
W_Issykul 28.031 -132.547 0.146
W_Kyrgyz_2 69.451 112.212 0.222
Junggar3 54.573 85.518 0.893
Junggar2 -23.553 -113.535 0.258
BurmanRanges 38.81 78.738 0.557
Kadjerty 44.321 74.398 2.25
OKHOTSK 5.131 -4.033 0.033
Betics -22.463 168.613 0.666
EBET 56.38 6.146 0.549
CR_forearc -2.77 99.972 4.005
Nazca 68.096 -120.304 0.505
lebanon1 -33.307 -143.862 5.775
Sinai 55.736 35.243 0.362
syria -27.146 -141.85 0.971
lebanon2 47.088 30.044 0.611
LW 79.514 76.685 0.224
Somalia 80.116 75.694 0.234
NorthBismarck -48.819 101.537 0.816
SouthBismarck 6.368 -29.851 8.759
Maoke 9.935 -8.306 1.024
BirdsHead -9.499 126.106 3.681
CLUZ -7.592 113.73 0.994
RedSea 19.721 40.558 3.248
Menderes 37.249 38.793 1.409
Metzger -65.827 163.188 4.233
southernmost_sliver -15.542 -83.894 1.366
WNFB -51.718 41.047 0.816
SVAN 14.153 -9.151 11.048
NHIS -17.423 108.817 1.384
MANA 36.213 25.393 1.33
WELL 40.229 3.928 4.503
OTAG -8.428 48.822 0.566
Kermmadec 35.03 11.593 1.888
NorthChinaPlain 71.977 134.596 0.283
NorthernCordillera 70.032 -114.937 0.102
Novi 49.426 -129.715 0.909
Olym -51.668 59.277 0.259
vancouver -32.142 84.766 0.06
S_Kyrgyz 46.08 72.589 1.473
mendocino-ftb -42.709 60.1 2.168
Taco 54.906 -146.704 0.155
OrBR -43.923 63.573 0.906
wnv -44.502 66.012 0.593
Taihang 65.698 126.407 0.354
kuwana 39.589 133.618 0.714
Tonga 27.431 5.42 7.166
BBLK -30.431 -17.959 0.577
Sumatra_sliver 11.299 -70.047 0.557
90East 27.208 53.45 0.786
CVAN 0.634 41.299 1.084
sanriku -37.793 -32.373 1.164
JuanDeFuca -34.901 64.112 1.499
Cocos 28.961 -130.011 1.139
Rivera 22.237 -108.874 4.305
Marianas 14.847 143.452 6.099
SWL1 12.932 120.803 11.489
pnw01 52.027 173.162 0.125
honduras 23.739 -91.816 1.045
EAR2 76.159 -166.713 0.251
EAR1 33.414 34.294 0.415
MohawkValley -43.094 64.687 1.104
baja -50.417 105.01 0.767
kyrgyz_sliver -34.2 -113.356 0.853
W_Kyrgyz -14.087 -117.652 0.259
Kyrgyz_add_back 45.221 72.789 1.452
Kyrgyz 43.649 72.086 1.968
SanJacinto -40.955 170.552 0.336
Travis2 -63.946 157.386 0.63
fonseca 19.445 -87.876 1.366
Sicily 54.05 172.683 0.171
northeastern_Sicily 80.695 -0.347 0.269
southeastern_Sicily 66.778 175.962 0.179
YanShan 68.945 126.551 0.283
amur 69.581 127.025 0.256
above_baja -26.79 -169.761 0.374
western_tarim -23.753 -86.429 0.509
near_karakoram -29.993 -94.531 1.437
North_east_Tibet -5.786 -78.834 0.376
ql_small01 13.599 -83.495 0.203
SouthernOceanMini 58.842 127.592 1.281
NorthOfBNSSuture 26.799 -80.213 0.402
lms_01 -12.841 -81.122 0.792
iida -35.806 -38.967 2.154
tottori 68.362 129.16 0.259
DeathValley 32.006 -121.686 0.525
Salton 30.432 -121.643 2.721
san_gabriel -48.685 85.08 0.844
WhiteWolf -45.076 76.414 0.505
WesternMojave 20.849 -136.971 0.477
SouthernIslands 18.257 -135.781 1.068
Chino 32.346 -119.816 8.581
labasin -42.909 73.559 1.792
VerdugoHills -38.821 68.164 3.02
SanDiego -45.731 83.693 1.066
Helendale 27.013 -127.98 0.445
Landers 26.729 -128.334 0.435
MojaveEasternMost 33.467 -119.294 1.018
PanamintValley -38.943 68 0.997
coso 34.295 -120.21 4.682
wassuk -38.882 63.989 2.266
CoastalRanges -44.025 74.909 1.6
LittleVentura01 -39.457 67.251 2.962
sanfrancisco 31.538 -132.993 1.708
lafayette 36.083 -125.92 2.448
echubu 35.442 135.877 1.927
north_of_eastern_kunlun 69.226 -70.116 0.231
NE2 17.932 -78.858 0.251
fukushima -35.646 -40.683 9.949
biwa 36.687 135.908 2.235
yoro 36.393 136.11 4.578
chubu 36.512 134.607 1.765
carson -41.01 62.407 2.462
central_tibet -8.055 -84.209 0.782
southeast_01 -16.434 -84.519 1.352
WestOfSichuan 56.873 114.062 0.498
hima-block -11.375 -82.168 1.002
east-central-tibet -20.091 -85.725 1.709
new_e_syntaxis -18.823 -85.748 1.32
CentralTibet 43.717 72.854 0.979
Issykul 46.823 76.424 1.696
N_issykul 50.676 79.346 1.028
Scotia -67.661 -88.501 0.333
Sumatran_fault_splay 2.495 99.463 7.249
XXF -15.37 -82.676 1.039
   
