116.508 -8.288000002 11 76 19 79 6.4
116.470557 -8.21084499979 13 175 11 -160 5.3
116.566984 -8.26638199982 12 94 46 45 4.9
116.435588 -8.32842899979 13 265 64 99 6.9
116.214062 -8.21974999987 13.5 279 74 94 5
116.267879 -8.24362899982 14 115 24 140 5.3
116.033252 -8.32047099986 18 75 23 97 5.1
116.308325 -8.25990799986 12 144 32 155 5.2
116.231405 -8.33485999986 14.5 260 63 94 5.9
116.2 -8.32000000051 11 245 60 80 4.8
116.578507 -8.33336799983 13.5 260 69 83 6.2
116.61215 -8.33720899978 14 84 25 91 6.9
116.909798 -8.41321499985 22.5 225 56 55 5.2
116.662899 -8.3090809998 17 114 30 51 5.3
116.88422 -8.41969499984 14.5 60 16 84 5.2
116.924495 -8.42442799979 22 200 58 85 5.5
116.907935 -8.37630999981 22.5 254 59 81 5
116.91888 -8.31020699984 23 55 31 71 5
116.72 -8.34000000054 11 94 25 76 5.1
